tokens,embedding
060606,"[-0.00336065 -0.00148366  0.01128268 ... -0.00315881  0.00659019
 -0.01162772]"
10,"[ 0.01079418 -0.00768259  0.01209526 ... -0.01865575 -0.00333016
 -0.02537458]"
100,"[ 0.00912973 -0.02047868 -0.00135102 ... -0.00811141 -0.0237092
 -0.02170066]"
10b,"[-0.00440498 -0.03766738 -0.00129985 ... -0.02742545  0.00649837
 -0.02896652]"
10m,"[-0.00651663 -0.01911637  0.00160612 ... -0.01407784 -0.00087389
 -0.02605289]"
11110,"[-0.00794618 -0.00883503  0.01289166 ... -0.00765881 -0.01146817
 -0.02433978]"
119,"[-0.00207925 -0.01470045  0.0164283  ... -0.00785075 -0.02157072
 -0.01289032]"
12,"[-0.00634016  0.00049796  0.00770407 ...  0.01072223  0.01733923
 -0.03319301]"
120,"[ 0.00572836  0.00474968  0.01151147 ...  0.01331142 -0.02274918
 -0.01899871]"
13,"[-0.0180745   0.00441362  0.00976212 ...  0.001758    0.00839367
 -0.02731498]"
131,"[-0.02101491 -0.00507281  0.01518362 ... -0.01066055 -0.02242055
 -0.02204478]"
150,"[ 0.00218618  0.00537327  0.00575607 ... -0.02629741 -0.01415312
 -0.02091712]"
16,"[-0.01341867 -0.00814226  0.02839079 ... -0.00572838  0.01391417
 -0.02828366]"
165,"[ 0.00246198  0.00738241  0.01456702 ... -0.02633649 -0.0018403
 -0.03099907]"
17,"[-0.00011314  0.01283526  0.01696211 ... -0.01368957  0.00661398
 -0.03089281]"
17m,"[-0.0153105   0.00829747  0.00216107 ... -0.00868922  0.01328109
 -0.04677923]"
18,"[-0.00469938 -0.00418392  0.02001588 ...  0.00424082  0.01046315
 -0.01657502]"
1893,"[-0.01863555  0.00227519  0.00616801 ...  0.00883118  0.00096745
 -0.01847774]"
19,"[-0.00516982 -0.00489526  0.02181773 ... -0.00487852 -0.00280088
 -0.01165219]"
191,"[-0.00572051 -0.00615053  0.01721367 ... -0.00759695 -0.00048255
 -0.00101966]"
1914,"[-0.02124255  0.00773592  0.00882696 ...  0.01791683 -0.00435762
  0.00228561]"
1926,"[-0.01567793 -0.01009492  0.02569252 ... -0.00081251  0.00236809
 -0.00077904]"
1933,"[-0.01244918 -0.0132923   0.00240915 ...  0.00094933  0.00097486
 -0.01015036]"
195,"[-0.00794013  0.0004039   0.01335992 ... -0.01060089  0.00023255
 -0.01408303]"
1950,"[-0.02250125 -0.00804944  0.0012212  ...  0.01075916  0.00855419
  0.00627285]"
1958,"[-0.00925881 -0.00624164 -0.00181623 ...  0.0062877   0.00283292
  0.00795586]"
1959,"[-0.00799853 -0.01675945  0.0066777  ... -0.00013856  0.0057782
  0.0062664 ]"
1963,"[-0.01496407 -0.01540803 -0.00964961 ... -0.00238302  0.00784112
 -0.01800651]"
1965,"[-0.01421529 -0.00623886 -0.00297682 ...  0.00155808  0.00531434
  0.00011587]"
1975,"[-0.02265239 -0.00466315 -0.00257013 ... -0.01031971  0.01610372
  0.00762051]"
1983,"[-0.02021416 -0.00920838 -0.01376699 ... -0.0141968   0.00212952
 -0.01209984]"
1984,"[-0.01343927 -0.01408415 -0.01201409 ... -0.00419816 -0.00090202
 -0.00835118]"
1988,"[-0.01680028 -0.02323692  0.00253402 ... -0.01152093 -0.0051168
  0.00219268]"
1991,"[ 0.00091143 -0.01711852  0.00655903 ... -0.03153065 -0.01091749
 -0.00787609]"
1994,"[ 0.0007654  -0.02711058 -0.00301949 ... -0.02350793 -0.01942579
  0.00586402]"
1996,"[ 0.00691841 -0.03479571 -0.00700382 ... -0.02953956 -0.00721407
 -0.00972388]"
1b,"[-0.00740545 -0.01187496 -0.01391284 ... -0.01322895 -0.02395717
 -0.017132  ]"
1x,"[ 0.01476081  0.0041069  -0.00500738 ... -0.01056563  0.0079101
 -0.0435903 ]"
20,"[ 0.00017068 -0.01038578  0.02585023 ...  0.00386276  0.0001839
 -0.02413047]"
200,"[ 0.00190404 -0.03113397  0.00518342 ... -0.01824403 -0.02551219
 -0.01076839]"
2000,"[ 0.01144123 -0.01703697  0.00338849 ... -0.03107695 -0.01263598
  0.00076992]"
2002,"[-0.00766439 -0.01975678 -0.01833495 ... -0.02231609 -0.01695373
  0.00878832]"
2005,"[-0.02914024  0.00084431 -0.01373346 ... -0.0293307  -0.00085622
  0.00476828]"
2009,"[-0.01123492 -0.014953   -0.01089203 ... -0.01239808 -0.0065016
  0.00373153]"
201,"[ 0.00115065 -0.02085987  0.03590868 ... -0.01052114 -0.01291853
 -0.02539406]"
2010,"[-0.01598445 -0.0108452  -0.00922982 ... -0.01274718  0.00291485
  0.00723013]"
2012,"[-0.02022455 -0.00679592 -0.02495101 ...  0.00998824  0.00280226
  0.00015403]"
2013,"[-0.02269665 -0.00348681 -0.0134417  ...  0.00217439  0.00960492
 -0.00200913]"
2014,"[-0.0234085  -0.00082271  0.00021762 ...  0.00162152  0.00260271
  0.00780496]"
2015,"[-0.02335939 -0.00220595  0.00404423 ... -0.01068833  0.00992019
 -0.00127613]"
2016,"[-0.01867434 -0.01436688  0.01480933 ... -0.02244824  0.01523878
 -0.00771048]"
2019,"[-0.0139332  -0.02391888  0.02104913 ... -0.01433575  0.01441366
  0.00547654]"
2020,"[-0.0066429  -0.03508879  0.00615201 ... -0.0113095   0.00351908
  0.01581036]"
2021,"[-0.00361068 -0.01900565  0.00265033 ... -0.02050062  0.01929165
  0.00387393]"
2022,"[-0.00616154 -0.02707383 -0.01051552 ...  0.00266846  0.01164359
  0.01872211]"
2023,"[-0.00877026 -0.00030999  0.00537121 ... -0.00409126  0.01470634
  0.00567814]"
2025,"[-0.02379737 -0.02140317  0.00857705 ...  0.00132701  0.01096468
 -0.00049948]"
2027,"[-0.0016278  -0.00381875 -0.00225759 ... -0.00176609  0.01344891
 -0.00403534]"
2030,"[-0.00782511 -0.02052942 -0.00181654 ...  0.0026418   0.00366925
  0.00470164]"
20m,"[-0.01551369 -0.01829519  0.02457641 ... -0.00514511 -0.01888283
 -0.0229049 ]"
22,"[-0.01550683 -0.00083483  0.02514621 ...  0.00648597  0.00180485
 -0.01291785]"
223,"[-0.00814089  0.00388128  0.02002456 ... -0.00930966 -0.02753714
 -0.00834357]"
225,"[-0.00445185 -0.00686254  0.02912178 ... -0.0181942  -0.00785376
 -0.01733768]"
23,"[-1.49409333e-02  1.38936099e-02  2.86091696e-02 ...  8.66900591e-05
  1.76818727e-03 -1.22497100e-02]"
24,"[-0.00593459  0.01237529  0.02809225 ... -0.00966451  0.01268727
 -0.02569346]"
25,"[-0.00860343 -0.00265261  0.02796448 ...  0.00106539  0.00216758
 -0.02064555]"
250,"[-0.00903969 -0.0125898   0.01065704 ... -0.02283075 -0.02022689
 -0.0196229 ]"
27,"[-0.00526781  0.00470083  0.02739399 ... -0.01174519  0.00266655
 -0.02141487]"
28,"[-0.01667443  0.00189097  0.01864172 ... -0.00092768  0.00811335
 -0.01733924]"
30,"[-0.00813144 -0.01118988  0.01949419 ...  0.00745327  0.00219409
 -0.02409513]"
31,"[-0.01334406 -0.01451644  0.01295546 ...  0.01466134  0.01205312
 -0.02244647]"
32,"[-0.01078631 -0.01359518  0.01575378 ...  0.00410604  0.0061004
 -0.02389212]"
3301,"[ 0.01303917 -0.00997469  0.0026469  ... -0.00594036 -0.00963794
 -0.02316877]"
35,"[-0.00407708 -0.00065628  0.01591154 ... -0.00153318  0.00687494
 -0.03034549]"
35this,"[-9.68006812e-03 -7.75329245e-05  3.31082102e-03 ...  5.50566241e-04
  2.33588554e-02 -3.85355130e-02]"
37,"[-0.00980579 -0.00649321  0.01752725 ...  0.00295053  0.0014482
 -0.03088587]"
370,"[ 0.00125595 -0.01514104  0.00522213 ... -0.00305465 -0.00790451
 -0.02215491]"
38,"[-0.01534779 -0.00611305  0.02751372 ...  0.00893728  0.00238472
 -0.02127033]"
39,"[-0.01230954 -0.01127862  0.03006722 ...  0.0027565  -0.0051614
 -0.02375884]"
40,"[-0.00304138 -0.00409351  0.01473665 ... -0.00362327  0.00171014
 -0.03012286]"
400,"[ 0.00547092 -0.00707919 -0.01198125 ... -0.01186889 -0.01845647
 -0.01823173]"
42,"[-0.0206566  -0.01194479  0.03142877 ...  0.00040909 -0.00018902
 -0.02512182]"
43,"[-0.01938045 -0.00925068  0.02473611 ... -0.00109209 -0.00519337
 -0.02011077]"
50,"[-0.00228544 -0.01759635  0.00540286 ... -0.00423067  0.003045
 -0.01738077]"
51,"[-0.00902847 -0.024297    0.01980307 ...  0.00041961  0.00339752
 -0.01251397]"
5month,"[-0.03484434  0.0011045  -0.00347457 ...  0.01228756  0.00577561
 -0.02440419]"
60,"[ 0.00052196 -0.01039474  0.01388699 ... -0.00018442  0.01130369
 -0.01526749]"
60m,"[-0.00426927 -0.00378088  0.00301507 ...  0.00069936  0.01518996
 -0.00220939]"
62,"[-0.01418394 -0.01352753  0.02505198 ...  0.00232621  0.00578591
 -0.01335835]"
63,"[-0.01466798 -0.01617029  0.01858764 ...  0.0023337   0.01626589
 -0.01096684]"
69,"[ 0.00334479 -0.0143145   0.01660536 ... -0.00510022  0.0103631
 -0.00768591]"
70,"[ 0.00339968 -0.01001976  0.00633734 ... -0.00416513  0.00294283
 -0.01228851]"
71,"[-0.00436629 -0.01369317  0.01470316 ... -0.00065829  0.0057782
 -0.00721417]"
80,"[ 0.00377927 -0.01575372  0.01637683 ...  0.00500855 -0.00234511
 -0.01220473]"
836,"[-0.00257027 -0.01459163  0.01694771 ... -0.01518065  0.00650599
 -0.03092355]"
858,"[ 0.0025869  -0.02165961  0.00914204 ... -0.00843881 -0.01076283
 -0.01247738]"
911,"[-0.00740742 -0.02129394  0.00284741 ... -0.02019275 -0.0084574
 -0.01475082]"
93,"[-0.00208504 -0.00502195  0.00017325 ...  0.00930881 -0.02300065
 -0.01670776]"
96,"[-0.00289683 -0.01413309  0.01729453 ...  0.0030767   0.00704579
 -0.02047673]"
abandon,"[-0.01052368 -0.02266108 -0.00139218 ... -0.00801344 -0.00989612
 -0.01844058]"
abc,"[ 0.00263295 -0.01123862 -0.00935845 ... -0.02223692 -0.01004408
 -0.0157058 ]"
able,"[-0.02198813 -0.02156931 -0.01353492 ... -0.01479836 -0.00444649
 -0.01872132]"
abraham,"[-0.02267884 -0.01810811 -0.01315426 ... -0.01480107  0.00558233
  0.00399938]"
abramovic,"[-0.03078923 -0.01818988 -0.00549414 ... -0.02143955  0.00853038
 -0.02646552]"
absolutely,"[-0.0076204   0.00054311  0.00232715 ... -0.01911491 -0.0178639
 -0.02542377]"
abuse,"[-0.01970633 -0.02332953  0.0053622  ... -0.01232164 -0.0037442
 -0.02945578]"
acceptance,"[ 0.00284388 -0.02310292  0.00311626 ... -0.01246502  0.00906793
 -0.01272894]"
access,"[ 0.00841052 -0.02181839  0.00391723 ... -0.01414955 -0.00594065
 -0.01197491]"
accomplishment,"[-0.02070173 -0.0125506   0.00815789 ... -0.01672063  0.00638326
 -0.0364642 ]"
according,"[-0.00992969 -0.02254271  0.00698075 ... -0.01525549 -0.00661979
 -0.0012012 ]"
account,"[-0.00403741 -0.03150952  0.0094229  ...  0.00310636  0.01023991
 -0.01766113]"
accountability,"[-0.01078152 -0.02229261 -0.00606291 ...  0.00123538 -0.00068947
 -0.03542498]"
accountable,"[-0.02937859 -0.02401109 -0.01192401 ... -0.00450802 -0.00206717
 -0.03323776]"
accurate,"[-0.02741321  0.0067161  -0.0094166  ... -0.00775012  0.00348019
 -0.01202674]"
accused,"[-0.01310836 -0.00970193 -0.00881505 ... -0.01776448 -0.01732104
  0.01214086]"
accuses,"[-0.01071889 -0.00828497 -0.008725   ... -0.01326282 -0.0010296
  0.00881438]"
acknowledged,"[-0.01567558 -0.01709313 -0.00264586 ... -0.03080066 -0.00657851
 -0.00186311]"
across,"[-0.01680775 -0.0081469   0.02069715 ... -0.01575206  0.00172766
 -0.01227244]"
act,"[-0.01305298 -0.03084621  0.01463537 ... -0.00645393 -0.01360578
 -0.02439228]"
acted,"[-0.02935984 -0.0311484  -0.00491853 ... -0.01814697 -0.01652351
 -0.02552132]"
action,"[-0.02489704 -0.01714971  0.00892441 ... -0.01050099 -0.00591394
 -0.01866208]"
actively,"[-3.13669778e-02 -2.76643224e-02  8.05666205e-05 ... -1.65422782e-02
 -1.11713177e-02 -2.30887979e-02]"
activity,"[ 0.00094353 -0.02598608  0.01174087 ... -0.01758668 -0.00633824
 -0.04986175]"
actual,"[-0.01991007 -0.01840952 -0.00546033 ... -0.01337296  0.00263465
 -0.00791957]"
